Illinois State,67,Morehead State,66
Austin Peay,76,Indiana,102
Notre Dame,86,Milwaukee,78
Grambling,55,Ohio State,82
Ohio State,82,Grambling,55
Milwaukee,78,Notre Dame,86
Stephen F. Austin,60,Northern Iowa,70
Iona,73,Oregon State,93
Penn State,68,DePaul,62
DePaul,62,Penn State,68
Oregon State,93,Iona,73
Cal State Fullerton,77,Pacific,76
Pacific,76,Cal State Fullerton,77
Missouri-Kansas City,89,Nebraska-Omaha,95
Nebraska-Omaha,95,Missouri-Kansas City,89
Murray State,76,Middle Tennessee,65
Kansas,73,Michigan State,79
Michigan State,79,Kansas,73
Middle Tennessee,65,Murray State,76
Northern Iowa,70,Stephen F. Austin,60
Illinois-Chicago,57,Western Illinois,84
Western Illinois,84,Illinois-Chicago,57
Nebraska,63,Villanova,87
Villanova,87,Nebraska,63
San Diego,62,Western Michigan,74
Wisconsin,78,North Dakota,64
Missouri,66,Xavier,78
Xavier,78,Missouri,66
North Dakota,64,Wisconsin,78
Western Michigan,74,San Diego,62
Jackson State,78,Southern Mississippi,60
Rhode Island,55,Valparaiso,58
Valparaiso,58,Rhode Island,55
Southern Mississippi,60,Jackson State,78
Tulsa,77,Wichita State,67
Wichita State,67,Tulsa,77
Syracuse,79,St. Bonaventure,66
St. Bonaventure,66,Syracuse,79
Texas-San Antonio,78,Creighton,103
Alabama,48,Dayton,80
Dayton,80,Alabama,48
Creighton,103,Texas-San Antonio,78
Connecticut,85,New Hampshire,66
New Hampshire,66,Connecticut,85
Delaware State,54,Pennsylvania,60
Green Bay,90,East Tennessee State,103
East Tennessee State,103,Green Bay,90
Pennsylvania,60,Delaware State,54
Duke,63,Kentucky,74
Kentucky,74,Duke,63
Appalachian State,70,Furman,79
Furman,79,Appalachian State,70
Auburn,84,Colorado,91
Hampton,61,American,48
American,48,Hampton,61
Colorado,91,Auburn,84
Citadel,94,Stetson,93
Stetson,93,Citadel,94
Cal State Bakersfield,68,Idaho,45
Idaho,45,Cal State Bakersfield,68
Louisville,87,Hartford,52
Dartmouth,63,Marist,73
Marist,73,Dartmouth,63
Hartford,52,Louisville,87
Louisiana Tech,80,Texas-Arlington,68
Texas-Arlington,68,Louisiana Tech,80
Georgetown,71,Maryland,75
Oklahoma,84,Memphis,78
Memphis,78,Oklahoma,84
Maryland,75,Georgetown,71
Jacksonville,79,Florida State,98
Florida State,98,Jacksonville,79
Liberty,59,William & Mary,70
William & Mary,70,Liberty,59
Rider,60,La Salle,73
Harvard,63,Massachusetts,69
Massachusetts,69,Harvard,63
La Salle,73,Rider,60
Eastern Michigan,81,Oakland,91
Oakland,91,Eastern Michigan,81
Morgan State,48,Old Dominion,79
Northwestern,79,Fairfield,72
Fairfield,72,Northwestern,79
Providence,60,Illinois,59
Incarnate Word,61,Purdue,96
Purdue,96,Incarnate Word,61
Illinois,59,Providence,60
Old Dominion,79,Morgan State,48
North Carolina,78,Wofford,58
Wofford,58,North Carolina,78
Niagara,75,Brown,66
New Mexico State,76,Tennessee Tech,63
Tennessee Tech,63,New Mexico State,76
Brown,66,Niagara,75
North Carolina State,79,IUPUI,56
IUPUI,56,North Carolina State,79
Quinnipiac,70,Vermont,83
Saint Louis,70,Southern Illinois-Edwardsville,60
Southern Illinois-Edwardsville,60,Saint Louis,70
Wake Forest,82,Richmond,91
Toledo,100,Youngstown State,78
Youngstown State,78,Toledo,100
Richmond,91,Wake Forest,82
Vermont,83,Quinnipiac,70
Jacksonville State,62,Virginia Tech,71
Virginia Tech,71,Jacksonville State,62
Buffalo,67,Saint Joseph's,89
Saint Joseph's,89,Buffalo,67
Robert Morris,76,Bucknell,81
Bucknell,81,Robert Morris,76
Kent State,69,Southern Illinois,72
Southern Illinois,72,Kent State,69
Arkansas State,75,Savannah State,76
Savannah State,76,Arkansas State,75
UC-Irvine,61,Central Florida,60
Central Florida,60,UC-Irvine,61
Austin Peay,77,IPFW,80
Arkansas,80,Akron,88
Arizona State,91,Kennesaw State,53
Kennesaw State,53,Arizona State,91
Akron,88,Arkansas,80
Cincinnati,83,Bowling Green State,50
Bowling Green State,50,Cincinnati,83
IPFW,80,Austin Peay,77
Belmont,90,Western Kentucky,85
Western Kentucky,85,Belmont,90
Houston,110,Prairie View,69
Prairie View,69,Houston,110
Loyola (MD),76,Maryland-Baltimore County,57
Northern Arizona,52,Gonzaga,91
Gonzaga,91,Northern Arizona,52
Southern Utah,64,Nevada-Las Vegas,84
Loyola (IL),51,New Mexico,75
New Mexico,75,Loyola (IL),51
Nevada-Las Vegas,84,Southern Utah,64
Maryland-Baltimore County,57,Loyola (MD),76
Massachusetts-Lowell,87,Sacred Heart,84
Sacred Heart,84,Massachusetts-Lowell,87
Denver,75,Utah Valley,62
Utah Valley,62,Denver,75
Drexel,66,High Point,75
Cornell,76,Binghamton,59
Binghamton,59,Cornell,76
Army,96,Fairleigh Dickinson,85
Fairleigh Dickinson,85,Army,96
High Point,75,Drexel,66
Eastern Washington,76,Seattle,70
Seattle,70,Eastern Washington,76
Long Beach State,80,Seton Hall,77
Seton Hall,77,Long Beach State,80
Navy,67,South Carolina Upstate,55
Saint Peter's,66,Hartford,67
Oregon State,77,Rice,69
Rice,69,Oregon State,77
Hartford,67,Saint Peter's,66
Tulane,82,Southern,90
Rutgers,59,St. John's (NY),61
St. John's (NY),61,Rutgers,59
Southern,90,Tulane,82
South Carolina Upstate,55,Navy,67
George Washington,73,South Florida,67
South Florida,67,George Washington,73
Delaware State,60,Nebraska,75
Nebraska,75,Delaware State,60
Missouri State,59,Butler,93
Miami (FL),105,Mississippi State,79
Mississippi State,79,Miami (FL),105
Butler,93,Missouri State,59
NJIT,90,Boston University,76
Louisiana-Monroe,80,Northwestern State,64
Northwestern State,64,Louisiana-Monroe,80
Boston University,76,NJIT,90
Stony Brook,72,Vanderbilt,79
Vanderbilt,79,Stony Brook,72
Mount St. Mary's,67,Washington,100
Pepperdine,67,UCLA,81
UCLA,81,Pepperdine,67
Washington,100,Mount St. Mary's,67
Texas A&M,95,Texas A&M-Corpus Christi,70
Texas A&M-Corpus Christi,70,Texas A&M,95
Houston Baptist,63,Texas Christian,90
Tennessee,84,Marshall,74
Southern Methodist,85,Stanford,70
Stanford,70,Southern Methodist,85
Marshall,74,Tennessee,84
Towson,52,Oklahoma State,69
Alabama-Birmingham,79,Troy,63
Troy,63,Alabama-Birmingham,79
Oklahoma State,69,Towson,52
Texas Christian,90,Houston Baptist,63
Texas Tech,63,Utah,73
Utah,73,Texas Tech,63
Clemson,76,Texas Southern,56
Texas Southern,56,Clemson,76
Colorado State,83,Loyola Marymount,75
Charlotte,77,Furman,68
Furman,68,Charlotte,77
George Mason,68,Mississippi,62
Mississippi,62,George Mason,68
Loyola Marymount,75,Colorado State,83
Fresno State,78,San Francisco,71
San Francisco,71,Fresno State,78
Albany (NY),88,Colgate,67
Colgate,67,Albany (NY),88
Arizona,88,Boise State,76
Southeast Missouri State,56,Alabama A&M,74
Air Force,65,Mississippi Valley State,64
Mississippi Valley State,64,Air Force,65
Alabama A&M,74,Southeast Missouri State,56
Virginia,82,Bradley,57
UC-Riverside,77,Santa Clara,63
Santa Clara,63,UC-Riverside,77
Bradley,57,Virginia,82
Boise State,76,Arizona,88
Boston College,82,Central Connecticut State,57
Central Connecticut State,57,Boston College,82
Iowa,89,Marquette,61
Marquette,61,Iowa,89
Central Arkansas,62,Massachusetts,89
South Alabama,66,Louisiana State,78
Long Island University,84,Maine,79
Maine,79,Long Island University,84
Louisiana State,78,South Alabama,66
Mercer,70,Alabama State,49
Minnesota,70,Temple,75
Temple,75,Minnesota,70
Alabama State,49,Mercer,70
Massachusetts,89,Central Arkansas,62
Grambling,65,Memphis,83
Memphis,83,Grambling,65
Alcorn State,46,Grand Canyon,79
Grand Canyon,79,Alcorn State,46
Holy Cross,69,New Hampshire,73
Green Bay,77,Georgia Tech,107
Georgia Tech,107,Green Bay,77
Indiana,86,Creighton,65
Lehigh,67,Yale,79
Yale,79,Lehigh,67
Creighton,65,Indiana,86
New Hampshire,73,Holy Cross,69
Illinois State,67,South Dakota State,83
South Dakota State,83,Illinois State,67
Oklahoma State,68,George Mason,71
Oregon,77,Savannah State,59
Savannah State,59,Oregon,77
George Mason,71,Oklahoma State,68
Texas-Arlington,73,Ohio State,68
McNeese State,56,Oklahoma,85
Oklahoma,85,McNeese State,56
DePaul,61,South Carolina,76
Siena,76,Radford,62
Detroit Mercy,79,Pittsburgh,95
Pittsburgh,95,Detroit Mercy,79
Radford,62,Siena,76
Ohio State,68,Texas-Arlington,73
Minnesota,74,Missouri State,69
Missouri State,69,Minnesota,74
Montana State,81,San Jose State,69
Arkansas-Pine Bluff,46,Michigan State,92
Michigan State,92,Arkansas-Pine Bluff,46
Columbia,80,Northwestern,83
Northwestern,83,Columbia,80
San Jose State,69,Montana State,81
Indiana State,70,Norfolk State,61
Norfolk State,61,Indiana State,70
Long Beach State,52,Virginia,87
Virginia,87,Long Beach State,52
Duke,79,Virginia Commonwealth,71
Villanova,86,East Tennessee State,51
East Tennessee State,51,Villanova,86
West Virginia,103,Stetson,62
Jacksonville State,69,Winthrop,80
Winthrop,80,Jacksonville State,69
Stetson,62,West Virginia,103
Virginia Commonwealth,71,Duke,79
Idaho State,67,Washington State,85
Washington State,85,Idaho State,67
Mississippi State,72,Texas Tech,74
Texas Tech,74,Mississippi State,72
South Carolina,76,DePaul,61
Oral Roberts,70,Tennessee-Martin,66
Tennessee-Martin,66,Oral Roberts,70
Miami (FL),90,Utah,66
Utah,66,Miami (FL),90
Tulsa,90,Ohio,88
Mississippi,76,Towson,60
Towson,60,Mississippi,76
Ohio,88,Tulsa,90
East Carolina,62,University of California,70
Colorado,85,Portland,63
Portland,63,Colorado,85
University of California,70,East Carolina,62
Temple,69,Butler,74
Florida Atlantic,58,Northeastern,60
Eastern Kentucky,89,Ball State,81
Duquesne,78,Penn State,52
Penn State,52,Duquesne,78
Ball State,81,Eastern Kentucky,89
Butler,74,Temple,69
